# index, sex, race, grade, school, _pos
112,2,1,11,1,"array([22.98400883,  9.98024279])"
113,1,1,11,1,"array([23.1127786 ,  7.45943877])"
114,2,2,10,1,"array([24.21742428,  8.04620092])"
115,2,1,9,1,"array([24.48799238,  9.63706539])"
116,1,1,11,1,"array([22.89936194, 10.57129053])"
117,2,2,9,1,"array([25.6611918 ,  8.44750498])"
118,1,1,9,1,"array([24.76854845,  9.8164506 ])"
119,2,1,9,1,"array([24.72017182,  9.90529144])"
120,1,1,10,1,"array([24.78898359,  9.09359508])"
121,2,1,10,1,"array([24.35889288,  9.04563543])"
122,2,1,12,1,"array([22.81128088,  9.72932727])"
123,1,1,11,1,"array([26.39269048,  1.92236   ])"
124,2,5,9,1,"array([24.9693805, 10.3275823])"
125,2,1,9,1,"array([23.85013807, 10.7532381 ])"
126,1,1,12,1,"array([22.42665565,  9.36288766])"
127,1,2,9,1,"array([24.4534567 ,  8.33335028])"
128,2,2,10,1,"array([26.00531937,  7.53651161])"
129,2,1,10,1,"array([23.65729077,  9.44470446])"
130,1,1,11,1,"array([22.94710805, 10.7249232 ])"
131,2,1,10,1,"array([24.14810815,  8.82448848])"
132,1,4,10,1,"array([25.38501101,  8.47487913])"
133,1,3,11,1,"array([22.2254802 ,  9.93025867])"
134,2,4,10,1,"array([25.23961436,  9.24155025])"
135,2,1,9,1,"array([24.44844439,  9.38760709])"
136,2,1,12,1,"array([22.55947961, 10.58058563])"
137,2,2,10,1,"array([25.12216452,  8.45658334])"
138,1,2,9,1,"array([25.57589497,  9.62236381])"
139,1,1,11,1,"array([23.00129093,  9.61799105])"
140,2,1,11,1,"array([22.50027159,  8.54371105])"
141,0,5,0,1,"array([25.27546756,  9.47848857])"
142,2,2,10,1,"array([25.9058962 ,  8.04998423])"
143,2,2,12,1,"array([21.38811169,  7.72181521])"
144,2,1,10,1,"array([23.49710911, 10.58112166])"
145,2,1,10,1,"array([22.73367259,  9.91185279])"
146,1,1,10,1,"array([23.29175955, 10.24429731])"
147,1,1,10,1,"array([24.06094777,  9.10863907])"
148,1,1,11,1,"array([23.61789759,  8.32510367])"
149,2,3,11,1,"array([24.87515313,  7.57030997])"
150,1,2,9,1,"array([25.11371657,  6.42580608])"
151,2,1,9,1,"array([23.5673148 , 11.12135917])"
152,1,1,11,1,"array([22.89685573, 10.98098035])"
153,1,2,10,1,"array([24.68707301,  8.91523768])"
154,2,1,12,1,"array([21.70500923, 10.5170024 ])"
155,2,1,9,1,"array([24.55628256, 10.63596577])"
156,2,1,12,1,"array([23.97921197,  8.09800222])"
157,2,1,10,1,"array([23.47517832,  8.95452981])"
158,2,1,11,1,"array([22.48295253,  8.78487158])"
159,2,3,10,1,"array([20.6454353 ,  8.18481712])"
160,1,1,10,1,"array([22.93544311,  9.13547965])"
161,1,1,10,1,"array([23.23358463, 10.12367653])"
162,1,1,9,1,"array([24.52659853,  9.94750314])"
163,1,1,0,1,"array([23.44528055,  7.67715333])"
164,1,1,10,1,"array([22.23963902,  8.34638654])"
165,1,1,11,1,"array([23.78309692,  8.21219087])"
166,2,1,12,1,"array([18.05535503, 14.87505999])"
167,1,1,12,1,"array([23.0947056 ,  9.98776978])"
168,1,1,10,1,"array([22.45584482,  8.67112594])"
169,1,1,10,1,"array([23.45527097, 11.07972933])"
170,2,1,9,1,"array([23.76832091, 10.12684591])"
171,1,1,9,1,"array([23.45199795, 10.81994781])"
172,1,5,10,1,"array([23.39660928,  9.42711643])"
173,2,1,11,1,"array([22.56939731, 10.18978073])"
174,1,1,9,1,"array([25.0328569 ,  9.74706301])"
175,1,1,9,1,"array([24.19861998,  9.65948847])"
176,2,1,12,1,"array([22.50156699, 10.46320917])"
177,1,1,11,1,"array([22.88381067,  8.90448227])"
178,1,1,11,1,"array([22.40876714,  9.98978784])"
179,1,1,10,1,"array([24.40406791,  7.96369488])"
180,2,1,12,1,"array([22.53161536,  9.14079412])"
181,1,1,10,1,"array([23.42046954, 11.17832841])"
182,2,1,10,1,"array([23.89140819,  8.66112529])"
183,1,1,9,1,"array([24.97244103, 10.2085637 ])"
184,2,1,11,1,"array([23.67247934,  8.02206066])"
185,2,5,11,1,"array([22.32829375,  9.88889932])"
186,1,1,11,1,"array([23.90286017,  8.26030687])"
187,2,1,12,1,"array([22.62014982,  8.86324943])"
188,2,2,12,1,"array([25.97275173,  5.97573069])"
189,2,1,9,1,"array([23.76220091, 10.75062874])"
190,2,1,10,1,"array([24.67077198,  9.17203698])"
191,2,1,9,1,"array([23.86141957,  8.56918506])"
192,1,2,10,1,"array([26.44746951,  8.96140122])"
193,2,1,9,1,"array([25.04571317,  9.29980479])"
194,2,2,10,1,"array([25.44459031,  8.6221704 ])"
