# index, sex, race, grade, school, _pos
490,2,1,10,1,"array([24.06903795,  8.74559752])"
491,2,4,9,1,"array([25.4036805 ,  9.45347726])"
492,1,1,11,1,"array([22.31556739,  7.77494113])"
493,2,1,10,1,"array([25.09922906,  8.02211962])"
494,2,1,12,1,"array([22.23913251, 11.19710162])"
495,2,1,9,1,"array([23.78542668,  9.360246  ])"
496,1,1,9,1,"array([24.40023244, 10.46913646])"
497,2,1,10,1,"array([24.99425311,  8.76478183])"
498,1,1,9,1,"array([25.19392649,  8.29035447])"
499,2,1,11,1,"array([22.79165725,  8.38502365])"
500,2,1,11,1,"array([22.62308764,  8.50615438])"
501,2,1,10,1,"array([22.39310833,  9.10265059])"
502,2,1,9,1,"array([24.22261052, 10.04617669])"
503,2,1,10,1,"array([24.29888476,  9.26516972])"
504,1,1,10,1,"array([23.6579282 ,  9.02124775])"
505,1,1,11,1,"array([23.15098407,  8.07541195])"
506,2,2,9,1,"array([23.26357226, 11.57055692])"
507,2,1,11,1,"array([22.79793849, 11.09838036])"
508,2,1,12,1,"array([22.81216342,  8.60238107])"
509,1,2,9,1,"array([26.29805053,  9.48452433])"
510,1,5,12,1,"array([23.66061016,  8.55662385])"
511,2,1,9,1,"array([24.66944767, 10.90878049])"
512,2,1,11,1,"array([22.03043019,  9.88935269])"
513,1,1,11,1,"array([22.60817305, 10.28321158])"
514,2,5,10,1,"array([25.79385539,  9.02857728])"
515,2,1,9,1,"array([24.1400085 , 11.40496366])"
516,1,1,12,1,"array([23.7925042, 10.9868341])"
517,1,1,12,1,"array([21.90321082, 10.10952036])"
518,1,1,11,1,"array([23.13848102, 10.79531867])"
519,1,1,12,1,"array([21.78642968, 10.71038241])"
520,1,1,9,1,"array([25.68970822,  9.59440982])"
521,1,1,11,1,"array([23.58825533,  9.67076859])"
522,1,1,9,1,"array([25.5905365, 10.0943578])"
523,2,1,12,1,"array([23.38976971,  8.12809094])"
524,1,1,11,1,"array([23.56301197, 10.7935595 ])"
525,2,2,9,1,"array([25.83955245,  8.84586537])"
526,1,2,9,1,"array([26.45397776,  8.59698702])"
527,1,1,9,1,"array([24.49275902, 11.22204881])"
528,1,1,11,1,"array([21.56440434,  9.45063647])"
529,1,1,10,1,"array([23.14578734,  8.53382407])"
530,1,1,9,1,"array([24.44828978, 10.26433031])"
531,1,1,9,1,"array([24.70611653,  9.4430424 ])"
532,1,3,12,1,"array([23.75273981,  7.91303793])"
533,2,1,9,1,"array([24.37692125,  9.52209834])"
534,2,1,9,1,"array([24.89069097,  9.92262841])"
535,1,1,12,1,"array([22.64842225,  9.49439754])"
536,2,1,9,1,"array([25.11953671, 10.50004178])"
537,1,1,11,1,"array([21.83386639,  8.47977785])"
538,2,1,12,1,"array([22.43054697, 10.57860449])"
539,2,3,12,1,"array([22.96823695,  8.77828991])"
540,1,1,12,1,"array([23.58263161,  9.39251371])"
541,2,1,12,1,"array([21.9938741 , 10.53243672])"
542,2,1,12,1,"array([24.39790603,  7.79475083])"
543,2,1,12,1,"array([21.9138806 , 11.14223129])"
544,2,2,12,1,"array([25.56082649,  7.00909421])"
545,1,1,9,1,"array([24.42764382,  9.59528015])"
546,1,1,9,1,"array([24.41223296, 10.09577334])"
547,2,1,9,1,"array([23.98403812, 11.0314546 ])"
548,2,1,12,1,"array([23.76248493,  8.82393899])"
549,2,1,10,1,"array([24.22004879,  8.4277108 ])"
550,1,1,8,1,"array([23.93062453, 11.63332374])"
551,1,1,11,1,"array([22.21053383,  8.76832982])"
552,1,1,9,1,"array([24.17853848, 10.90009886])"
553,1,1,12,1,"array([22.30736749,  9.50266868])"
554,2,3,12,1,"array([17.17229522,  6.21732778])"
555,1,1,9,1,"array([24.46583905,  9.09318706])"
556,2,1,10,1,"array([23.91066514,  9.0088645 ])"
557,1,1,9,1,"array([26.06051549,  9.39113198])"
558,2,1,11,1,"array([23.50886427,  7.81799418])"
559,2,5,9,1,"array([24.52193025,  9.35070079])"
560,1,1,12,1,"array([22.52238583,  8.28126309])"
561,1,1,9,1,"array([30.6604292 ,  4.66680629])"
562,1,1,9,1,"array([25.24825967,  9.74820924])"
563,1,2,10,1,"array([25.67539193,  9.20211187])"
564,2,2,11,1,"array([24.58180262,  8.40297083])"
565,1,1,9,1,"array([25.5360739 ,  9.00237663])"
566,1,2,9,1,"array([25.6602392,  9.3763743])"
567,1,2,9,1,"array([26.17018676,  8.44609751])"
568,2,1,11,1,"array([22.28806348,  9.31925494])"
569,2,1,9,1,"array([24.83411229,  9.71708212])"
570,1,1,11,1,"array([23.46308558,  8.20978628])"
571,1,1,12,1,"array([22.8471033 ,  9.20974727])"
572,1,1,11,1,"array([22.5544695 , 11.13289598])"
573,2,1,10,1,"array([24.00490086,  9.17477709])"
574,1,1,10,1,"array([23.28160424,  9.24756111])"
575,1,1,11,1,"array([22.88835088,  7.02496124])"
576,1,1,11,1,"array([22.56608793,  9.27591367])"
577,1,1,11,1,"array([22.72373062, 10.20044165])"
578,1,1,10,1,"array([24.15214576,  8.35680609])"
579,1,1,11,1,"array([23.43109399,  9.6886963 ])"
580,1,1,9,1,"array([24.19999129,  9.54515662])"
581,1,4,11,1,"array([22.88313513,  7.99705961])"
582,1,1,10,1,"array([23.5428863 ,  8.04144366])"
583,1,1,12,1,"array([22.96329368,  7.45471617])"
584,2,1,11,1,"array([23.36631259,  8.32051483])"
585,1,4,9,1,"array([25.3435351 ,  9.15198731])"
586,1,1,9,1,"array([23.51212272,  9.27437391])"
587,2,2,10,1,"array([25.93128897,  7.41147242])"
588,2,1,12,1,"array([23.23167625,  9.13896683])"
589,2,5,9,1,"array([26.66106764,  8.58369881])"
590,2,1,11,1,"array([22.86720099,  7.272188  ])"
591,1,1,10,1,"array([24.17255208,  9.07858651])"
592,2,1,9,1,"array([24.74934014,  9.22712906])"
593,2,5,10,1,"array([24.70356989,  8.64979723])"
594,2,1,10,1,"array([22.57629288, 11.4841171 ])"
595,1,1,11,1,"array([22.62623669, 10.71471044])"
596,2,1,11,1,"array([23.00233266,  9.88035561])"
597,2,1,12,1,"array([20.87935098,  8.82286137])"
598,2,1,9,1,"array([24.87760102,  9.01392872])"
599,1,1,12,1,"array([22.33336999, 10.23027671])"
600,2,1,9,1,"array([24.2409568 ,  9.93433687])"
601,1,2,10,1,"array([25.28983132,  7.70259623])"
602,2,1,9,1,"array([24.82379918,  9.38890848])"
603,0,1,9,1,"array([24.10857023, 11.01412903])"
604,1,1,10,1,"array([24.23154289,  8.7525642 ])"
605,2,1,11,1,"array([22.56732957,  8.61631446])"
606,2,1,11,1,"array([22.41510363,  9.45414886])"
607,2,1,9,1,"array([24.48307242, 10.52203182])"
608,1,1,10,1,"array([23.9136815 ,  7.66089474])"
609,2,1,11,1,"array([26.16324367, 17.93126825])"
610,2,1,9,1,"array([24.89328184, 10.48637562])"
611,2,1,9,1,"array([30.10431572, 16.02948329])"
612,2,1,12,1,"array([22.3407414 , 10.70098503])"
613,2,2,9,1,"array([25.31613091,  8.0224609 ])"
614,1,1,12,1,"array([23.6126176 , 11.25883927])"
615,2,2,9,1,"array([25.05409267,  8.17139334])"
616,1,1,9,1,"array([24.9389038 , 11.19518513])"
617,2,2,12,1,"array([24.75861723,  6.32699804])"
618,2,3,9,1,"array([24.21856369, 10.16390907])"
619,1,5,12,1,"array([23.20287276,  9.92127588])"
620,1,1,9,1,"array([24.16417808,  1.31481635])"
621,1,1,11,1,"array([26.91100491,  8.28842243])"
622,2,5,12,1,"array([26.03806996,  5.82463236])"
623,1,4,11,1,"array([24.41508403,  8.16043547])"
624,1,1,12,1,"array([23.85013818,  9.28316579])"
625,1,1,9,1,"array([24.56791857, 10.04683243])"
626,1,1,12,1,"array([23.14515947,  9.09184979])"
627,2,2,11,1,"array([22.12717025, 17.70317413])"
628,2,1,9,1,"array([24.29791942,  9.36448997])"
629,1,1,9,1,"array([24.67549579, 10.58490608])"
630,2,2,9,1,"array([25.71690087,  7.82912518])"
631,2,1,10,1,"array([24.17884598,  9.31278316])"
632,2,2,12,1,"array([25.17195123,  6.97215407])"
633,2,1,9,1,"array([24.34213237, 10.71224244])"
634,1,1,9,1,"array([24.31771677, 10.86382937])"
635,2,1,12,1,"array([21.97492157, 10.38689741])"
636,2,1,12,1,"array([22.44060931,  9.55337256])"
637,1,1,12,1,"array([22.90324008,  9.66040419])"
638,2,1,11,1,"array([24.24684121,  9.84212221])"
639,2,1,12,1,"array([22.27359974, 10.44007097])"
640,1,1,10,1,"array([23.78473599,  8.3580455 ])"
641,1,1,10,1,"array([22.97812889, 11.46498525])"
642,1,1,10,1,"array([22.85181596,  9.99635253])"
643,2,2,9,1,"array([25.82337918,  9.43083296])"
644,2,5,11,1,"array([25.8495941 ,  6.99266128])"
645,2,1,11,1,"array([22.09254578, 10.10646908])"
646,2,2,9,1,"array([26.76291655,  9.1048984 ])"
647,1,1,10,1,"array([23.53203884,  9.94738701])"
648,1,2,10,1,"array([18.78572231, 15.69541003])"
649,2,1,10,1,"array([23.41114292,  9.88864103])"
650,1,1,10,1,"array([23.50371825,  8.8768094 ])"
651,1,1,11,1,"array([23.37666426,  8.64184813])"
652,2,1,12,1,"array([22.00826186, 10.21405535])"
653,1,1,9,1,"array([25.78411458,  8.51146548])"
654,1,1,9,1,"array([24.85700355,  9.16550408])"
655,1,1,11,1,"array([24.28654112, 10.08946895])"
656,2,1,11,1,"array([23.27842256,  9.42074564])"
657,1,2,11,1,"array([24.48303951,  7.41412439])"
658,2,1,9,1,"array([24.68027214,  9.79376969])"
659,2,3,10,1,"array([16.88538817, 12.41385418])"
660,1,1,9,1,"array([25.03151579,  9.17146027])"
661,1,3,10,1,"array([23.16590267, 10.28591684])"
662,2,1,12,1,"array([23.78554671,  8.72139067])"
663,2,1,12,1,"array([22.29535369, 10.10655809])"
664,1,1,10,1,"array([24.46734231,  8.85905435])"
665,2,1,12,1,"array([21.68916218,  9.22750547])"
666,2,1,12,1,"array([22.81902642, 10.93805367])"
667,1,1,12,1,"array([23.84628639,  8.8505362 ])"
668,2,1,10,1,"array([23.13510948, 10.97881387])"
669,1,1,9,1,"array([25.19021531,  9.32415154])"
670,2,1,12,1,"array([21.93219462, 10.69032897])"
671,2,1,10,1,"array([24.48162262,  8.57156647])"
672,2,1,9,1,"array([25.22813733, 10.22541827])"
673,2,1,9,1,"array([25.13111581,  9.41959334])"
674,2,2,11,1,"array([24.69366489,  7.6385953 ])"
675,1,2,9,1,"array([25.94010972,  8.96248817])"
676,1,2,9,1,"array([25.50623911,  8.80742097])"
677,1,2,11,1,"array([24.92601113,  7.12399841])"
678,2,1,9,1,"array([23.91265289, 10.15692576])"
679,2,1,11,1,"array([22.38901429,  8.58518778])"
680,2,1,11,1,"array([22.56393385,  9.77193792])"
681,2,1,10,1,"array([24.06091163,  9.47403006])"
682,1,3,12,1,"array([22.38549591, 10.44919438])"
683,2,1,9,1,"array([24.85486971,  9.81236167])"
684,2,1,11,1,"array([22.54262903,  9.43048105])"
685,1,1,10,1,"array([24.13756107, 10.40001518])"
686,2,5,10,1,"array([24.18594372,  9.75537675])"
687,1,1,10,1,"array([25.55499216,  7.99890769])"
688,1,5,12,1,"array([23.60295249,  9.79156566])"
689,1,1,9,1,"array([25.45750706, 10.32475802])"
690,1,1,10,1,"array([24.11217865,  8.2687608 ])"
691,2,2,11,1,"array([25.05741363,  7.8211294 ])"
692,2,1,9,1,"array([24.79379027,  9.61662704])"
693,2,5,10,1,"array([24.46411553,  7.01808176])"
694,2,5,11,1,"array([24.6527913 ,  7.44509287])"
695,2,1,11,1,"array([22.29868195,  9.16646896])"
696,2,2,9,1,"array([24.95503168,  9.43619767])"
697,2,1,10,1,"array([24.64858521,  9.66405184])"
698,2,1,10,1,"array([32.98358606, 10.14392793])"
699,0,5,10,1,"array([24.2528816 ,  7.65133215])"
700,1,1,9,1,"array([23.61892045, 17.42798462])"
701,1,3,11,1,"array([21.74955603,  8.71274718])"
702,2,1,11,1,"array([23.0202037 , 11.11005878])"
703,1,1,10,1,"array([23.88476462,  9.36554126])"
704,1,1,10,1,"array([23.3182924 , 10.78008622])"
705,2,1,11,1,"array([22.908637  , 11.09649752])"
706,2,1,12,1,"array([22.05099722,  9.42371796])"
707,2,2,11,1,"array([25.91874707,  8.26334243])"
708,1,2,10,1,"array([23.84808059,  7.52659235])"
709,2,2,10,1,"array([25.51453717,  7.88084742])"
710,1,2,10,1,"array([26.86698936,  8.76677311])"
711,2,2,9,1,"array([26.32552418,  9.25452274])"
712,2,2,12,1,"array([25.60125033,  6.78338659])"
713,2,1,9,1,"array([24.16377993, 10.74315021])"
714,1,2,9,1,"array([25.32246198,  9.33428057])"
715,2,1,9,1,"array([25.41522297,  8.73833811])"
716,2,1,12,1,"array([22.56830001,  8.03273427])"
717,2,1,11,1,"array([23.00811505,  9.07059497])"
718,2,1,10,1,"array([24.31580603, 11.09760208])"
719,2,1,11,1,"array([23.31453785,  8.71714648])"
720,2,2,9,1,"array([26.48431968,  8.21029595])"
721,2,3,12,1,"array([24.75366823,  7.06138353])"
722,1,1,11,1,"array([22.98307005, 10.57233921])"
723,2,2,10,1,"array([27.12570153,  8.41417265])"
724,1,1,9,1,"array([25.5507026 , 17.54588796])"
725,2,2,9,1,"array([25.91742309,  8.42303771])"
726,2,3,10,1,"array([23.56336073,  7.43137452])"
727,1,1,11,1,"array([23.3747143, 10.5659383])"
728,2,1,12,1,"array([22.27072002, 10.77863294])"
729,2,1,10,1,"array([23.75459612,  9.21169309])"
730,2,1,10,1,"array([24.73766759,  8.16512089])"
731,1,4,10,1,"array([24.56634302,  9.10808079])"
732,1,1,10,1,"array([24.31674721, 11.61100145])"
733,2,1,9,1,"array([24.63439189, 10.2675489 ])"
734,2,1,10,1,"array([23.45248054,  8.72624244])"
735,1,4,9,1,"array([25.91662885,  9.0859074 ])"
736,1,1,10,1,"array([23.91109947, 10.28678281])"
737,1,1,9,1,"array([26.19890766,  8.20791485])"
738,1,4,11,1,"array([24.34075842,  8.74387638])"
739,1,4,12,1,"array([22.49167634,  8.45708645])"
740,1,1,9,1,"array([24.63580374,  9.08722122])"
741,1,1,10,1,"array([23.40128225,  9.26577656])"
742,2,1,9,1,"array([24.25235311, 10.98200073])"
743,1,1,11,1,"array([22.79782932, 11.27154674])"
744,1,1,11,1,"array([22.83418465, 10.31618176])"
745,1,1,10,1,"array([23.36636131, 10.19421146])"
746,2,1,11,1,"array([22.49617624, 10.13886263])"
747,1,2,10,1,"array([25.23351283,  7.56464104])"
748,1,1,9,1,"array([24.24216864, 10.56303577])"
749,1,1,11,1,"array([23.00390596,  9.52545989])"
750,2,1,12,1,"array([22.03021214,  9.59843861])"
751,2,1,10,1,"array([23.68909604,  9.99480472])"
752,2,5,10,1,"array([23.46477542,  9.0623166 ])"
753,1,2,9,1,"array([31.27484209,  5.44557884])"
754,2,1,11,1,"array([26.46563097,  6.89139676])"
755,2,1,11,1,"array([22.68094203,  9.27764699])"
756,2,1,10,1,"array([23.35628551,  9.63629133])"
757,1,1,10,1,"array([23.29922513,  9.94794926])"
758,1,1,12,1,"array([24.78135609,  8.55640432])"
759,2,1,12,1,"array([32.31320596, 13.16762099])"
760,1,1,9,1,"array([23.92126409,  8.75863512])"
761,2,1,9,1,"array([25.25993566,  9.6188335 ])"
762,2,1,9,1,"array([24.63513369, 10.11453629])"
763,2,1,11,1,"array([23.04715804, 10.50552049])"
764,1,1,9,1,"array([24.83432585,  8.26588375])"
765,2,3,9,1,"array([25.25887111,  8.39921362])"
766,1,2,10,1,"array([25.77399602,  8.70087837])"
767,2,1,12,1,"array([23.96591342,  7.81897858])"
768,2,1,9,1,"array([24.58173146,  9.87324516])"
769,2,1,11,1,"array([22.72373881, 11.15991284])"
770,1,1,9,1,"array([31.17719093, 14.98024358])"
771,2,2,9,1,"array([26.9818973 ,  8.50898204])"
772,2,1,12,1,"array([23.56563026,  8.9994939 ])"
773,1,1,11,1,"array([23.33908755,  7.62381373])"
774,2,1,10,1,"array([23.33023603,  9.76188454])"
775,2,1,11,1,"array([23.68912613,  7.23603401])"
776,1,4,9,1,"array([23.93929371, 10.52731285])"
777,1,1,10,1,"array([23.4547238 , 10.92554954])"
778,2,5,9,1,"array([24.26145532, 10.42496031])"
779,2,1,11,1,"array([22.33044572,  9.64069104])"
780,2,1,10,1,"array([22.93016652, 10.43681448])"
781,2,1,9,1,"array([24.79339689, 10.69715144])"
782,2,1,10,1,"array([23.09207127,  8.22509864])"
783,2,2,10,1,"array([24.74883241,  5.84968432])"
784,2,5,9,1,"array([24.31092805, 11.36444956])"
785,1,1,10,1,"array([23.96903766,  9.25449214])"
786,2,4,10,1,"array([23.10847286,  7.91732973])"
787,1,1,10,1,"array([23.52412761,  9.85115302])"
788,1,2,9,1,"array([25.37584973,  8.32163818])"
789,2,2,9,1,"array([25.57322603,  9.31038484])"
790,2,2,9,1,"array([25.88757476,  7.83877127])"
791,2,5,10,1,"array([21.44296922,  8.92098174])"
792,1,4,11,1,"array([23.35786791,  9.35065179])"
793,1,1,9,1,"array([24.90574721,  9.54379752])"
794,1,1,12,1,"array([23.33407005,  8.43720092])"
795,1,1,11,1,"array([23.2639746 , 10.52902569])"
796,2,1,9,1,"array([23.83431092, 10.55347091])"
797,2,1,10,1,"array([24.40748941,  7.68612153])"
798,1,1,9,1,"array([24.76236211, 10.01513713])"
799,2,5,9,1,"array([24.99644597,  9.02378297])"
800,2,5,12,1,"array([26.60662294,  1.88903297])"
801,1,1,9,1,"array([24.480885  , 10.40735695])"
802,1,1,12,1,"array([23.70292792,  9.62451311])"
803,2,2,9,1,"array([25.66215858,  8.73003769])"
804,2,1,11,1,"array([31.41877524,  4.69947387])"
805,1,1,10,1,"array([23.29770363,  7.79358297])"
806,1,1,12,1,"array([21.198501  ,  8.91858737])"
807,1,1,10,1,"array([24.13904153,  9.20613141])"
808,2,1,10,1,"array([28.33653169,  2.16158654])"
809,1,1,9,1,"array([25.11771478,  8.71956874])"
810,1,1,12,1,"array([22.97759546,  8.36410362])"
811,2,1,12,1,"array([22.67724543,  9.07122994])"
812,2,1,10,1,"array([23.50760148,  6.97995548])"
813,2,1,11,1,"array([22.53377308,  9.55401776])"
814,2,1,10,1,"array([24.51778266,  9.23103655])"
815,1,1,10,1,"array([24.63393249,  8.70582597])"
816,1,2,10,1,"array([25.66418086,  7.55663607])"
817,2,5,10,1,"array([25.4231598 ,  8.87713338])"
818,2,1,12,1,"array([23.58101896,  8.14360342])"
819,2,2,9,1,"array([25.83287545,  9.25563203])"
820,1,2,10,1,"array([24.37737231,  7.27218303])"
821,2,1,10,1,"array([23.38450074,  9.00197004])"
822,2,1,11,1,"array([23.06419152, 10.2481831 ])"
823,2,1,11,1,"array([22.4466319 , 10.24099893])"
824,2,1,11,1,"array([22.02818678,  8.93517401])"
825,1,1,10,1,"array([24.13841587,  8.69774477])"
826,2,1,10,1,"array([23.11142174,  9.40605029])"
827,2,1,10,1,"array([23.66135634,  7.66654004])"
828,2,1,11,1,"array([23.02428855,  8.67562175])"
829,2,1,11,1,"array([23.07378684,  9.8465069 ])"
830,2,1,9,1,"array([23.66235015, 10.16221795])"
831,1,2,10,1,"array([24.54932051, 17.53785057])"
832,2,1,10,1,"array([21.12666482,  8.27634355])"
833,1,1,9,1,"array([24.45388518,  8.69388389])"
834,2,1,12,1,"array([22.62584187,  9.36836308])"
835,1,3,10,1,"array([25.5480026 ,  8.65782305])"
836,1,1,12,1,"array([24.51610062,  7.87523518])"
837,2,4,10,1,"array([29.17081452, 16.67684284])"
838,2,2,12,1,"array([25.29204552,  5.38195482])"
839,1,1,9,1,"array([24.5295352 , 11.11496128])"
840,2,5,10,1,"array([24.23230276,  9.44799826])"
841,2,1,11,1,"array([22.28500063,  7.96073831])"
842,2,1,10,1,"array([24.27315759,  8.30706062])"
843,1,1,10,1,"array([23.77705674,  9.81168104])"
844,1,1,9,1,"array([24.54123119,  9.54571974])"
845,2,2,9,1,"array([26.6949262 ,  8.97784207])"
846,2,1,11,1,"array([23.16452048,  9.21314774])"
847,2,2,9,1,"array([26.38367571,  8.66683274])"
848,2,5,10,1,"array([25.42534892,  8.17529346])"
849,2,5,10,1,"array([24.73730076,  8.7780823 ])"
850,2,2,10,1,"array([25.27159636,  8.5421973 ])"
851,2,1,9,1,"array([24.50439833, 10.86251291])"
852,1,1,10,1,"array([23.89401533,  9.54070461])"
853,2,1,10,1,"array([23.09083567,  8.39914012])"
854,1,1,9,1,"array([24.79752109, 10.5569916 ])"
855,1,1,12,1,"array([23.85287105,  8.42481926])"
856,2,1,11,1,"array([23.38734299,  8.88858166])"
857,1,1,9,1,"array([24.38731087,  9.93182394])"
858,2,2,12,1,"array([25.41706233,  6.84462288])"
859,1,1,11,1,"array([23.26685738,  9.59561758])"
860,1,1,11,1,"array([27.55570025, 17.43711095])"
861,2,1,10,1,"array([22.61768882, 10.8277337 ])"
862,1,1,9,1,"array([24.9168283 , 10.62249393])"
863,2,1,11,1,"array([23.00791037,  7.99952118])"
864,2,1,11,1,"array([23.51718754,  9.604496  ])"
865,1,1,9,1,"array([23.23370917, 11.22412297])"
866,2,1,12,1,"array([23.14741785,  9.29243075])"
867,2,1,9,1,"array([24.23409492, 10.68791971])"
868,2,3,11,1,"array([24.62465733,  6.78946688])"
869,1,1,11,1,"array([22.92725997,  8.46356347])"
870,2,3,12,1,"array([22.11448111, 10.48026556])"
871,2,2,11,1,"array([24.9063516 ,  7.68666242])"
872,2,1,9,1,"array([24.39191699,  9.79953164])"
873,2,1,11,1,"array([23.84254345,  7.97865226])"
874,1,1,10,1,"array([23.50869251,  8.7865702 ])"
875,2,1,9,1,"array([25.0711925 ,  9.66096327])"
876,2,1,9,1,"array([22.28587852,  8.47992917])"
877,1,3,9,1,"array([25.22000027,  9.09747256])"
878,2,3,10,1,"array([24.95056192,  8.26142458])"
879,2,1,9,1,"array([24.04010582, 10.91265676])"
880,2,1,10,1,"array([22.96661808,  8.12060774])"
881,2,1,11,1,"array([23.15784198,  7.72992659])"
882,1,1,11,1,"array([23.12285781, 10.61056813])"
883,2,3,12,1,"array([23.14746258,  6.96704515])"
884,1,1,12,1,"array([23.50443177,  8.65721259])"
885,1,2,11,1,"array([18.79452974, 14.94143749])"
886,1,1,9,1,"array([24.731716  ,  8.99643719])"
887,1,1,10,1,"array([16.42404386,  9.97408777])"
888,2,1,10,1,"array([23.79396783,  9.05230905])"
889,1,1,9,1,"array([24.20959763, 11.15581714])"
890,2,1,11,1,"array([21.28789068,  8.74235607])"
891,1,1,12,1,"array([16.55559677,  8.11365337])"
892,2,1,9,1,"array([24.34854762,  9.86844923])"
893,1,1,11,1,"array([22.37911212, 10.32982558])"
894,1,1,11,1,"array([22.76877805,  9.00605232])"
895,1,2,12,1,"array([25.43145056,  8.01097695])"
896,2,1,9,1,"array([23.18574027,  8.87480751])"
897,2,1,11,1,"array([23.03594025,  8.48656124])"
898,2,1,11,1,"array([21.83935031,  8.95929411])"
899,1,1,11,1,"array([22.98489484,  8.93312811])"
900,1,1,11,1,"array([23.91655554,  9.09291849])"
901,2,2,10,1,"array([25.55328205,  8.1317271 ])"
902,1,2,9,1,"array([25.60842021,  8.84161194])"
903,2,1,11,1,"array([23.92610143,  7.35087374])"
904,1,1,11,1,"array([22.6218609 ,  8.71153728])"
905,2,5,11,1,"array([23.73299221,  8.42665218])"
906,2,1,9,1,"array([24.64933115, 10.73490003])"
907,2,1,9,1,"array([24.94221431,  9.2535866 ])"
908,2,1,9,1,"array([23.99095064, 10.68004029])"
909,2,1,9,1,"array([22.60870506,  7.59039552])"
910,2,1,11,1,"array([22.79695927,  9.81473465])"
911,1,1,10,1,"array([24.29058262,  7.84928125])"
912,1,1,11,1,"array([23.51760495,  9.71757103])"
913,2,3,9,1,"array([26.62724662,  8.4222161 ])"
914,2,2,12,1,"array([25.47451224,  6.50208667])"
915,1,1,11,1,"array([23.19790413,  8.60576565])"
916,1,1,10,1,"array([24.02392462,  8.58329476])"
917,1,1,9,1,"array([24.69902114,  9.55802095])"
918,1,1,9,1,"array([25.02431981, 10.98251116])"
919,2,1,12,1,"array([22.96839385,  9.22554833])"
920,1,1,9,1,"array([25.50172877,  9.69776661])"
921,1,1,9,1,"array([24.47065725, 10.75718334])"
922,2,1,9,1,"array([24.30996632, 10.50151764])"
923,1,1,12,1,"array([23.38098384, 10.42423196])"
924,2,1,10,1,"array([23.47554772, 10.10019335])"
925,2,1,11,1,"array([22.54441213,  9.66175736])"
926,2,1,12,1,"array([21.81624763,  8.08512462])"
927,1,1,9,1,"array([24.73025317, 10.10671022])"
928,2,2,10,1,"array([26.22450945,  8.72534321])"
929,2,1,11,1,"array([23.07621941, 10.9028178 ])"
930,2,1,10,1,"array([23.94307146,  8.40024402])"
931,1,2,10,1,"array([24.60175962,  8.86410409])"
932,2,2,10,1,"array([28.49026428,  2.89844587])"
933,2,1,12,1,"array([21.83633661,  9.96065023])"
934,1,1,9,1,"array([24.74770117, 11.11320576])"
935,1,1,10,1,"array([16.43139236,  9.05845049])"
936,2,1,10,1,"array([24.38196662,  8.8315169 ])"
937,2,1,11,1,"array([23.57453101,  9.09830775])"
938,1,1,9,1,"array([25.64565771,  9.97834362])"
939,1,1,11,1,"array([22.69021582,  9.69429645])"
940,2,1,11,1,"array([22.82366599,  8.47131328])"
941,1,2,10,1,"array([25.30251745,  8.98875795])"
942,1,3,10,1,"array([21.34364926,  8.04417303])"
943,1,1,12,1,"array([23.1562895 ,  9.84671177])"
944,2,1,10,1,"array([24.09399111,  9.7765207 ])"
945,2,3,10,1,"array([26.26080001,  8.08793186])"
946,1,2,10,1,"array([25.26620556,  8.69385033])"
947,1,1,12,1,"array([22.00563295, 11.6411615 ])"
948,2,1,10,1,"array([23.13055398, 10.13948875])"
949,2,1,10,1,"array([23.79384059,  9.56072367])"
950,2,1,10,1,"array([24.11962225,  9.59178204])"
951,2,2,9,1,"array([26.03254146,  8.3876056 ])"
952,1,1,10,1,"array([23.80103185, 10.23565931])"
953,1,4,12,1,"array([24.79829716,  7.27740451])"
954,2,1,10,1,"array([23.40982662, 10.29494287])"
955,2,1,9,1,"array([24.82488401, 10.88297438])"
956,2,1,12,1,"array([22.9103255 , 10.15008441])"
957,2,1,11,1,"array([23.22810697,  8.48726998])"
958,2,3,11,1,"array([21.33060142,  9.2595443 ])"
959,1,1,11,1,"array([22.87758267, 10.66006717])"
960,2,1,10,1,"array([23.77373816,  8.61910808])"
961,1,1,10,1,"array([23.60932409, 10.05778347])"
962,2,1,11,1,"array([22.87351744,  9.55037822])"
963,2,1,11,1,"array([22.41737909,  9.24949498])"
964,1,1,9,1,"array([25.36044195, 10.20671703])"
965,1,1,9,1,"array([24.35941866, 10.01992444])"
966,2,1,10,1,"array([23.63253395,  9.31784299])"
967,1,1,11,1,"array([23.35771481,  8.2131981 ])"
968,1,1,9,1,"array([24.76784231, 10.26312803])"
969,2,1,9,1,"array([24.32739805, 10.601123  ])"
970,1,1,10,1,"array([21.97316703,  8.28286999])"
971,1,2,9,1,"array([25.67892657,  8.93125536])"
972,1,3,11,1,"array([23.08766673, 10.40566455])"
973,1,4,9,1,"array([25.43728447,  1.94030042])"
974,1,1,11,1,"array([22.73364517,  9.51267128])"
975,2,1,12,1,"array([22.7356409 , 17.23641074])"
976,1,1,10,1,"array([24.78561921, 11.27274859])"
977,2,1,9,1,"array([24.89754422,  9.36115444])"
978,1,1,11,1,"array([23.72174235,  9.30620842])"
979,1,3,9,1,"array([24.64496299, 11.02454641])"
980,2,1,9,1,"array([24.83774167, 10.35200959])"
981,1,1,9,1,"array([17.27054319, 13.06290727])"
982,1,1,10,1,"array([24.15375628,  7.75804337])"
983,2,1,9,1,"array([23.96560843,  9.64942394])"
